;B302004075;B302047407;B9011919;B144799;B2371301;B302003714;B9011899;B144753;B148397;B149079;B147743;B147813;B148411;B147854;B147967;B302003809;B2371142;B302047620;B302003490;B302003491;B302003502;B302004609;B148390;B302004900;B302004963;B302005145;B302005123;B147732;B302003481;B302003605;B302047748;B302040760;B148389;B2366180;B302022703;B2365832;B148472;B302004712;B2371423;B302003523;B302003997;B144883;B147890;B147891;B147892;B147893;B147894;B148187;B148188;B148189;B148190;B148191;B148195;B148200;B148225;B144826;B144827;B144828;B144829;B144830;B144832;B144834;B144835;B144836;B144838;B144840;B144842;B144843;B144844;B144845;B144846;B144848;B144851;B302047285;B140995;B144854;B302003407;B148374;B2365849;B3169117;B148308;B9011601;B148479;B2366128;B2366130;B302004856;B2366364;B3169173;B9039319;B147292;B302005165;B148157;B144780;B2371037;B2370933;B302047376;B148178;B2370935;B148269;B2371345;B148576;B302061490;B302021450;B302023364;B302061489;B302004269;B302047394;B2371154;B302031998;B302031999;B302004277;B302047287;B148193;B302040617;B2371363;B302047541;B2371408;B302022469;B302047278;B144902;B2365831;B9011880;B148145;B148156;B2371397;B147146;B302022521;B9001408;B148504;B2365846;B2371314;B2370982;B302003902;B302003673;B148570;B2371056;B2371136;B9001565;B144910;B9040174;B144764;B144765;B2371471;B2371173;B2371361;B9001281;B9039412;B148278;B144759;B302047398;B144784;B302003492;B147182;B147183;B302003689;B2366282;B302003431;B147108;B302047590
0;-51945.188435540615;-29784.158086365303;-89799.27523378123;-49351.97285518059;-140295.61037388613;;-89486.3311108286;-41063.57086985089;-40055.63478263326;-39946.68191990052;-29681.681502160576;-26262.276996949;-40518.34144566538;-60023.93916429683;-39085.03322248415;-85218.92251237643;-34335.68385162032;-14148.663404948304;-18509.387218669603;-16394.102151344538;-21089.874268840267;;-33357.51081153032;-19038.623383197097;-16284.892882599563;-37850.64785444062;-10459.233042387703;-24400.131462139812;;;;-73500.60114973433;-37239.88238928976;-56060.184659034014;-86533.78636419683;-107578.63996959363;-50450.56739830175;-119064.65498810422;-196226.71278859652;-58597.33507831726;-29881.106919408765;-52910.60679013348;-46224.42813877693;-46062.995529391475;-46499.62419729521;-40064.02668603756;-45433.38522184486;-45989.228923191426;-38057.3896868915;-38038.72288645195;-47293.21509071896;-37090.986781577056;-30164.842001094326;-58970.01579732238;-43646.68588963111;-43285.21697098353;-28009.94353411722;-25256.552476112054;-38962.95829825761;-26864.50888553259;-40073.88696781388;-29970.01440284094;-44584.0876421441;-36130.595926687325;-40480.96264572366;-31977.03161507504;-37891.50767423637;-30488.683401030972;-44661.1962631128;-31966.8044610446;-27227.113120507147;-46877.544678159466;-19239.212127736555;-44817.27801841019;-50588.54472377952;-41118.673887995064;-18661.398672635238;-32277.913591835215;-39269.45879652621;-37839.55546583832;-84838.55528977055;-69059.35160197997;-69791.26268480544;-306128.56015771575;-74575.49509815866;-50232.172686265076;-64256.713230883935;-27718.472322880938;-38448.285344305456;-24549.819620629492;-27613.638560828305;-130817.11465449345;-25993.96421294662;-37088.34656442035;-50191.16687011237;-40065.529744157415;-73574.15073594272;-69365.17742858386;-46040.087249077136;-31055.487071784883;-78658.35952038555;;-9879.126325653766;-18757.465652662744;;;-6041.722788610631;;-23242.651681843963;1225.0;;;-65628.89750379612;;-51331.3703148377;-26437.527559187958;-70654.87410402321;-31318.60719911446;;-58929.78621257072;-40031.777577956425;-169764.62921437155;-103677.19410373415;-64123.950313197536;-103568.43842022501;-142967.27435979134;-16297.587338030595;-347675.8230529213;-69321.05022932538;-99741.92741737039;-42994.17323475339;-67383.98309283961;-70317.77034456794;-34265.89910669767;-108317.10184317321;-33213.99621375915;-57037.37085724294;-45566.490701565934;-98877.62680997692;-43090.316153256936;-138715.21253090052;-158537.30673315292;-157068.0105442112;-97886.95767075555;-50460.83302727531;-141652.4907959717;-46590.9026536928;-35403.27529842642;-28170.305468013827;-16480.15683658463;-17374.012176578613;-16578.98769064691;-33213.52192352135;-32838.52192352135;-21154.101057785225;;-24977.54181458205;-21843.392555318333;-18768.07714483171
1;-50305.4975264497;-28859.635359092576;-87031.61614287214;-47783.57285518058;-135945.61037388613;;-86599.52201991952;-39780.33450621452;-38808.043873542345;-38699.09101080961;-28747.13604761512;-25435.072451494456;-39256.70508202901;-58124.12098247866;-37873.08776793869;-82362.9338760128;-33230.67476071123;-13715.45885949376;-17952.40994594233;-15899.011242253631;-20444.056087022083;;-32288.14717516669;-18446.623383197097;-15789.801973508655;-36635.73876353153;-10146.687587842249;-23621.586007594356;;;;-71056.81705882524;-36071.70057110795;-54313.55738630674;-83648.35454601502;-104131.28542413907;-48772.39467102902;-115139.65498810422;-189651.71278859652;-56729.1805328627;-28946.56146486331;-51200.77042649712;-44869.33722968602;-44707.904620300564;-45144.5332882043;-38849.117595128475;-44078.857949117584;-44634.70165046415;-36935.93514143696;-36917.268340997405;-45903.04236344622;-35985.97769066796;-29230.29654654887;-57259.03397914056;-42338.32225326747;-42037.62606189262;-27182.738988662677;-24478.0070215666;-37822.30375280306;-26037.304340078044;-38858.97787690479;-29094.1507664773;-43265.20582396228;-35055.86865396005;-39233.37173663275;-30995.758887802313;-36786.49858332727;-29564.160673758244;-43399.55989947643;-30985.531733771873;-26399.908575052603;-45487.37195088673;-18647.212127736555;-43427.10529113745;-48984.49926923407;-39810.310251631425;-18104.421399907966;-31249.913591835215;-38021.8678874353;-36627.61001129286;-82247.55528977055;-66779.56978379814;-67701.46268480543;-296853.56015771575;-72327.37691634048;-48663.77268626507;-62135.24959452028;-26842.6086865173;-37233.37625339637;-23796.365075174945;-26737.774924464666;-126742.11465449345;-25166.759667492075;-35912.04656442035;-48587.121415566915;-38782.29338052105;-71357.69619048818;-67275.37742858386;-44578.6236127135;-30074.214344512155;-75979.029974931;;-9569.694507471948;-18200.488379935472;;;-5854.298561337904;;-22543.015318207596;1225.0;;;-63507.43386743247;;-49621.53395120134;-25610.323013733414;-68565.07410402321;-30337.334471841732;;-57029.96803075254;-38770.14121432006;-164614.62921437155;-100650.2486491887;-62224.13213137936;-100541.49296567956;-138642.27435979134;-15802.496428939687;-337200.8230529213;-67262.91386568901;-96827.09105373402;-41746.58232566248;-65389.1740019305;-67932.87261729522;-33191.171833970395;-105150.02002499139;-32139.26894103188;-55169.21631178838;-44140.67251974775;-95654.49044634057;-41735.78888052966;-134315.21253090052;-153512.30673315292;-152093.0105442112;-94691.84857984645;-48892.4330272753;-136927.4907959717;-45129.43901732916;-34281.82075297188;-27294.441831650187;-15985.065927493717;-16835.830358396794;-16083.896781556004;-32185.52192352135;-31810.52192352135;-20508.28287596704;;-24198.996360036595;-21197.57437350015;-18211.099872104438
2;-48665.806617358794;-27935.112631819848;-84263.95705196304;-46215.172855180586;-131595.61037388613;;-83712.71292901042;-38497.098142578165;-37560.45296445144;-37451.5001017187;-27812.590593069664;-24607.86790603991;-37995.06871839265;-56224.30280066048;-36661.14231339324;-79506.94523964915;-32125.66566980215;-13282.254314039212;-17395.432673215055;-15403.92033316272;-19798.237905203907;;-31218.783538803058;-17854.623383197097;-15294.711064417743;-35420.829672622436;-9834.142133296793;-22843.040553048904;;;;-68613.03296791614;-34903.518752926124;-52566.93011357947;-80762.92272783318;-100683.93087868455;-47094.22194375629;-111214.65498810422;-183076.71278859652;-54861.025987408175;-28012.016010317853;-49490.93406286075;-43514.24632059511;-43352.81371120966;-43789.442379113396;-37634.20850421938;-42724.33067639032;-43280.17437773688;-35814.480595982415;-35795.81379554286;-44512.8696361735;-34880.968599758875;-28295.751092003415;-55548.052160958745;-41029.95861690384;-40790.03515280171;-26355.534443208133;-23699.461567021146;-36681.64920734852;-25210.0997946235;-37644.068785995696;-28218.28713011367;-41946.324005780465;-33981.14138123278;-37985.78082754184;-30014.486160529585;-35681.489492418186;-28639.637946485516;-42137.92353584007;-30004.259006499145;-25572.70402959806;-44097.19922361401;-18055.212127736555;-42036.93256386473;-47380.453814688626;-38501.94661526779;-17547.44412718069;-30221.913591835215;-36774.276978344395;-35415.66455674741;-79656.55528977053;-64499.78796561633;-65611.66268480544;-287578.56015771575;-70079.2587345223;-47095.37268626507;-60013.78595815666;-25966.745050153666;-36018.46716248727;-23042.910529720404;-25861.911288101033;-122667.11465449345;-24339.55512203753;-34735.746564420355;-46983.07596102147;-37499.05701688469;-69141.24164503363;-65185.57742858387;-43117.15997634987;-29092.941617239427;-73299.70042947645;;-9260.262689290128;-17643.511107208196;;;-5666.874334065176;;-21843.37895457124;1225.0;;;-61385.970231068844;;-47911.69758756497;-24783.11846827887;-66475.27410402322;-29356.061744569004;;-55130.149848934365;-37508.5048506837;-159464.62921437155;-97623.30319464325;-60324.31394956118;-97514.54751113411;-134317.27435979134;-15307.405519848775;-326725.8230529213;-65204.77750205265;-93912.25469009767;-40498.991416571575;-63394.36491102142;-65547.97489002248;-32116.444561243123;-101982.93820680957;-31064.54166830461;-53301.061766333856;-42714.85433792957;-92431.35408270422;-40381.26160780239;-129915.21253090052;-148487.30673315292;-147118.0105442112;-91496.73948893735;-47324.033027275305;-132202.4907959717;-43667.97538096553;-33160.366207517334;-26418.578195286555;-15489.975018402805;-16297.64854021498;-15588.805872465093;-31157.52192352135;-30782.52192352135;-19862.464694148865;;-23420.450905491143;-20551.756191681972;-17654.122599377162
3;-47026.11570826788;-27010.58990454712;-81496.29796105395;-44646.772855180585;-127245.61037388617;;-80825.90383810134;-37213.8617789418;-36312.86205536053;-36203.90919262779;-26878.04513852421;-23780.66336058536;-36733.43235475628;-54324.48461884229;-35449.19685884778;-76650.95660328552;-31020.656578893057;-12849.049768584668;-16838.455400487783;-14908.829424071811;-19152.419723385723;;-30149.41990243942;-17262.623383197097;-14799.620155326835;-34205.92058171335;-9521.596678751339;-22064.49509850345;;;;-66169.24887700705;-33735.33693474431;-50820.30284085219;-77877.49090965137;-97236.57633323;-45416.04921648356;-107289.65498810422;-176501.71278859652;-52992.87144195362;-27077.470555772397;-47781.09769922439;-42159.1554115042;-41997.72280211875;-42434.351470022484;-36419.29941331029;-41369.803403663034;-41925.6471050096;-34693.026050527864;-34674.35925008831;-43122.69690890077;-33775.95950884978;-27361.20563745796;-53837.07034277692;-39721.5949805402;-39542.4442437108;-25528.32989775358;-22920.91611247569;-35540.99466189397;-24382.89524916895;-36429.15969508661;-27342.42349375003;-40627.442187598645;-32906.41410850551;-36738.18991845093;-29033.213433256857;-34576.48040150909;-27715.11521921279;-40876.2871722037;-29022.986279226418;-24745.499484143507;-42707.02649634128;-17463.212127736555;-40646.759836592;-45776.408360143156;-37193.58297890415;-16990.466854453418;-29193.913591835215;-35526.68606925348;-34203.719102201954;-77065.55528977055;-62220.00614743451;-63521.86268480545;-278303.56015771575;-67831.14055270412;-45526.97268626507;-57892.32232179302;-25090.881413790026;-34803.55807157818;-22289.455984265856;-24986.047651737394;-118592.11465449345;-23512.35057658298;-33559.44656442035;-45379.030506476;-36215.820653248324;-66924.78709957909;-63095.77742858387;-41655.69633998623;-28111.6688899667;-70620.3708840219;;-8950.83087110831;-17086.533834480924;;;-5479.450106792449;;-21143.74259093487;1225.0;;;-59264.506594705206;;-46201.86122392861;-23955.91392282432;-64385.474104023204;-28374.789017296276;;-53230.331667116174;-36246.86848704733;-154314.62921437155;-94596.3577400978;-58424.49576774299;-94487.60205658866;-129992.27435979132;-14812.314610757867;-316250.8230529213;-63146.641138416286;-90997.41832646131;-39251.40050748066;-61399.55582011232;-63163.077162749745;-31041.71728851585;-98815.85638862776;-29989.814395577338;-51432.9072208793;-41289.03615611139;-89208.21771906783;-39026.73433507511;-125515.21253090052;-143462.30673315292;-142143.0105442112;-88301.63039802828;-45755.633027275304;-127477.49079597175;-42206.51174460189;-32038.91166206279;-25542.714558922915;-14994.884109311897;-15759.46672203316;-15093.714963374185;-30129.52192352135;-29754.52192352135;-19216.64651233068;;-22641.905450945687;-19905.93800986379;-17097.14532664989
4;-45386.42479917697;-26086.0671772744;-78728.63887014486;-43078.37285518059;-122895.61037388617;;-77939.09474719224;-35930.62541530544;-35065.271146269624;-34956.318283536886;-25943.499683978753;-22953.458815130823;-35471.79599111992;-52424.6664370241;-34237.25140430233;-73794.96796692189;-29915.64748798397;-12415.845223130123;-16281.47812776051;-14413.738514980903;-18506.60154156754;;-29080.056266075786;-16670.623383197093;-14304.529246235927;-32991.01149080425;-9209.051224205885;-21285.949643957996;;;;-63725.46478609796;-32567.155116562488;-49073.67556812492;-74992.05909146956;-93789.22178777544;-43737.87648921083;-103364.65498810422;-169926.71278859652;-51124.71689649906;-26142.92510122694;-46071.261335588024;-40804.06450241329;-40642.631893027836;-41079.26056093157;-35204.390322401196;-40015.27613093577;-40571.11983228233;-33571.57150507332;-33552.904704633766;-41732.52418162805;-32670.950417940698;-26426.660182912503;-52126.08852459511;-38413.231344176565;-38294.8533346199;-24701.125352299045;-22142.370657930238;-34400.34011643943;-23555.690703714412;-35214.25060417751;-26466.559857386397;-39308.56036941683;-31831.68683577823;-35490.59900936003;-28051.94070598413;-33471.471310600005;-26790.592491940068;-39614.65080856734;-28041.71355195369;-23918.29493868897;-41316.853769068555;-16871.21212773655;-39256.587109319276;-44172.362905597714;-35885.21934254052;-16433.489581726146;-28165.913591835215;-34279.09516016258;-32991.773647656504;-74474.55528977055;-59940.224329252684;-61432.062684805445;-269028.56015771575;-65583.02237088593;-43958.57268626508;-55770.85868542938;-24215.017777426394;-33588.64898066909;-21536.00143881131;-24110.18401537376;-114517.11465449345;-22685.146031128443;-32383.14656442035;-43774.98505193056;-34932.584289611965;-64708.33255412453;-61005.977428583865;-40194.2327036226;-27130.39616269397;-67941.04133856737;;-8641.399052926494;-16529.556561753652;;;-5292.025879519722;;-20444.106227298507;1225.0;;;-57143.04295834157;;-44492.024860292244;-23128.70937736978;-62295.6741040232;-27393.51629002355;;-51330.51348529798;-34985.23212341097;-149164.62921437155;-91569.41228555233;-56524.6775859248;-91460.6566020432;-125667.27435979132;-14317.223701666959;-305775.8230529213;-61088.50477477992;-88082.58196282494;-38003.80959838976;-59404.74672920322;-60778.179435477025;-29966.99001578857;-95648.77457044595;-28915.08712285006;-49564.752675424745;-39863.21797429321;-85985.08135543148;-37672.20706234784;-121115.21253090052;-138437.30673315292;-137168.0105442112;-85106.52130711918;-44187.23302727531;-122752.49079597175;-40745.04810823826;-30917.457116608246;-24666.850922559282;-14499.79320022099;-15221.28490385134;-14598.624054283277;-29101.52192352135;-28726.52192352135;-18570.828330512497;;-21863.359996400235;-19260.119828045605;-16540.168053922618
5;-43746.73389008606;-25161.54445000167;-75960.97977923579;-41509.97285518059;-118545.61037388617;;-75052.28565628313;-34647.38905166907;-33817.68023717871;-33708.727374445974;-25008.954229433304;-22126.254269676272;-34210.15962748356;-50524.848255205936;-33025.30594975687;-70938.97933055826;-28810.638397074876;-11982.640677675576;-15724.500855033242;-13918.647605889995;-17860.78335974936;;-28010.692629712154;-16078.623383197099;-13809.438337145019;-31776.10239989517;-8896.50576966043;-20507.40418941254;;;;-61281.68069518889;-31398.97329838067;-47327.048295397646;-72106.62727328774;-90341.86724232089;-42059.70376193811;-99439.65498810422;-163351.71278859652;-49256.56235104454;-25208.379646681493;-44361.424971951674;-39448.973593322386;-39287.54098393693;-39724.16965184067;-33989.481231492115;-38660.74885820849;-39216.59255955506;-32450.116959618786;-32431.450159179225;-40342.35145435532;-31565.941327031604;-25492.114728367054;-50415.10670641328;-37104.86770781293;-37047.262425528985;-23873.920806844493;-21363.825203384782;-33259.68557098488;-22728.48615825986;-33999.34151326843;-25590.696221022758;-37989.67855123501;-30756.959563050965;-34243.008100269115;-27070.667978711408;-32366.462219690908;-25866.06976466734;-38353.01444493098;-27060.44082468097;-23091.09039323442;-39926.681041795826;-16279.212127736555;-37866.41438204655;-42568.31745105225;-34576.85570617689;-15876.512308998874;-27137.913591835215;-33031.50425107167;-31779.828193111043;-71883.55528977055;-57660.44251107088;-59342.26268480546;-259753.56015771575;-63334.90418906776;-42390.172686265076;-53649.39504906576;-23339.154141062754;-32373.73988976001;-20782.546893356764;-23234.32037901012;-110442.11465449345;-21857.94148567389;-31206.846564420346;-42170.9395973851;-33649.3479259756;-62491.87800867;-58916.17742858388;-38732.76906725895;-26149.12343542125;-65261.71179311283;;-8331.967234744676;-15972.579289026386;;;-5104.601652246995;;-19744.469863662147;1225.0;;;-55021.579321977944;;-42782.188496655894;-22301.50483191523;-60205.87410402321;-26412.243562750828;;-49430.69530347982;-33723.59575977461;-144014.62921437155;-88542.46683100687;-54624.85940410664;-88433.71114749773;-121342.27435979132;-13822.13279257605;-295300.8230529213;-59030.368411143565;-85167.74559918857;-36756.21868929885;-57409.93763829414;-58393.281708204304;-28892.262743061307;-92481.6927522641;-27840.359850122793;-47696.59812997022;-38437.39979247503;-82761.9449917951;-36317.67978962057;-116715.21253090052;-133412.30673315292;-132193.0105442112;-81911.41221621007;-42618.83302727531;-118027.49079597175;-39283.584471874616;-29796.00257115371;-23790.987286195643;-14004.702291130081;-14683.103085669527;-14103.533145192368;-28073.52192352135;-27698.52192352135;-17925.010148694317;;-21084.81454185478;-18614.301646227424;-15983.190781195352
6;-42107.04298099515;-24237.021722728936;-73193.32068832667;-39941.57285518058;-114195.61037388617;;-72165.47656537405;-33364.15268803271;-32570.089328087808;-32461.136465355066;-24074.40877488785;-21299.049724221728;-32948.52326384719;-48625.030073387745;-31813.360495211407;-68082.99069419461;-27705.62930616578;-11549.436132221032;-15167.523582305963;-13423.556696799084;-17214.965177931175;;-26941.328993348514;-15486.623383197099;-13314.347428054107;-30561.19330898607;-8583.960315114975;-19728.858734867084;;;;-58837.89660427977;-30230.791480198848;-45580.42102267037;-69221.19545510592;-86894.51269686634;-40381.53103466538;-95514.65498810422;-156776.71278859652;-47388.40780558998;-24273.834192136037;-42651.5886083153;-38093.882684231474;-37932.45007484602;-38369.078742749756;-32774.57214058301;-37306.22158548122;-37862.06528682778;-31328.662414164228;-31309.995613724666;-38952.17872708259;-30460.93223612251;-24557.5692738216;-48704.12488823146;-35796.504071449286;-35799.67151643807;-23046.71626138995;-20585.279748839326;-32119.031025530334;-21901.281612805316;-32784.43242235933;-24714.832584659125;-36670.79673305318;-29682.232290323685;-32995.4171911782;-26089.395251438673;-31261.453128781814;-24941.547037394605;-37091.37808129461;-26079.168097408234;-22263.885847779875;-38536.5083145231;-15687.212127736555;-36476.24165477382;-40964.271996506795;-33268.49206981324;-15319.535036271594;-26109.913591835215;-31783.913341980755;-30567.882738565586;-69292.55528977055;-55380.660692889054;-57252.462684805454;-250478.56015771575;-61086.78600724957;-40821.77268626507;-51527.931412702106;-22463.29050469912;-31158.830798850908;-20029.09234790222;-22358.45674264649;-106367.11465449345;-21030.736940219347;-30030.546564420343;-40566.89414283964;-32366.111562339232;-60275.423463215455;-56826.37742858387;-37271.305430895314;-25167.850708148515;-62582.38224765827;;-8022.535416562854;-15415.602016299106;;;-4917.1774249742675;;-19044.83350002578;1225.0;;;-52900.11568561429;;-41072.35213301952;-21474.300286460686;-58116.07410402321;-25430.970835478092;;-47530.87712166163;-32461.959396138238;-138864.62921437155;-85515.52137646142;-52725.04122228845;-85406.76569295228;-117017.27435979132;-13327.041883485139;-284825.8230529213;-56972.2320475072;-82252.9092355522;-35508.627780207935;-55415.128547385044;-56008.38398093157;-27817.535470334027;-89314.61093408229;-26765.632577395514;-45828.44358451566;-37011.581610656845;-79538.80862815873;-34963.15251689329;-112315.21253090052;-128387.30673315289;-127218.0105442112;-78716.30312530098;-41050.4330272753;-113302.49079597175;-37822.12083551098;-28674.54802569915;-22915.12364983201;-13509.61138203917;-14144.921267487704;-13608.442236101457;-27045.52192352135;-26670.52192352135;-17279.191966876133;;-20306.269087309323;-17968.48346440924;-15426.213508468072
